,File,SoftwareVersion,AnalogFirmware,HousekeepingFirmware,sampleNumber,sampleType,triggerCount,roiCount,humidity,temperature,runTime,inhibitTime,ageOfFix,gpsLatitude,gpsLongitude,ADCFileFormat,DAQ_MCCserialPort_DAC_MCConly,auxPower1,autoStart,InteractiveAutoStart,autoShutdown,HumidityAlarmThreshold(%),ValveHumidityHysteresis_DAC_MCConly,FanTemperatureThreshold_DAC_MCConly,FanTemperatureHysteresis_DAC_MCConly,valveDelay,FlashlampControlVoltage,HKTRIGGERtoFlashlampDelayTime_x434ns_DAC_MCConly,FlashlampPulseLength_x434ns_DAC_MCConly,CameraPulseLength_x434ns_DAC_MCConly,cameraGain,binarizeThreshold,minimumBlobArea,blobXgrowAmount,blobYgrowAmount,minimumGapBewtweenAdjacentBlobs,laserState,runningCamera,pump1State,pump2State,stirrer,viewImages,viewRoisOnly,sendTriggerContent,triggerContinuous,continuousTriggerRate,fill3newSheathState,PMTAtriggerThreshold_DAQ_MCConly,PMTBtriggerThreshold_DAQ_MCConly,PMTCtriggerThreshold_DAQ_MCConly,PMTDtriggerThreshold_DAQ_MCConly,ADCdataRateDAQ_MCConly,integratorSettleTime,PMTtriggerSelection_DAQ_MCConly,altPMTtriggerSelection_DAQ_MCConly,ADCPGA_DAQ_MCConly,triggerAckTimeout_x34720ns_DAQ_MCConly,TimeoutForFirstFrame,pulseStretchTime_x2170ns_DAQ_MCConly,maximumPulseLength_x2170ns_DAQ_MCConly,hasCamera,liveEnvironment,flash,PMTAhighVoltage,PMTBhighVoltage,intervalBetweenAlternateHardwareSettings,Alt_FlashlampControlVoltage,pumpDriveVoltage,altPMTAHighVoltage,altPMTBHighVoltage,altPMTATriggerThreshold_DAQ_MCConly,altPMTBTriggerThreshold_DAQ_MCConly,viewTriggers,viewGraphs,viewActivity,viewFPS,KloehnPort,syringeSamplingSpeed,syringeOffset,NumberSyringesToAutoRun,SyringeSampleVolume,altSyringeSampleVolume,sampleVolume2skip,syringeSize,primeVolume,flushVolume,BleachVolume,BiocideVolume,stepsToFullSyringe,debubbleWithSample,RefillAfterDebubble,primeSampleTube,backflushWithSample,runBeads,runSampleFast,BeadsSampleVolume,NumberSyringesBetweenBeadsRun,NumberSyringesBetweenCleaningRun,RunFastFactor,viewSyringe,viewValve,focusMotorSmallStep_ms,focusMotorLargeStep_ms,laserMotorSmallStep_ms,laserMotorLargeStep_ms,debubbleConeVolume,debubbleNeedleVolume,debubbleRefillVolume,debubbleLeftVolume,BleachRinseCount,BleachRinseVolume,BleachToExhaust,SamplingFastSpeed,CounterCleaning,CounterBeads,CounterAlt,imagerID,DataFilePath,rdate,ryear,rmonth,rday,rhour,rmin,rsec
0,D20230311T092911_IFCB134.hdr,2.3.0.0,45,32,1,Normal,526,528,21.49401541161212,17.706652170595873,1200.8479166666666,42.91344618055555,0.5,57.42369532,18.9945685,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,105,4,105,134,/mnt/data/ifcbdata,2023-03-11 09:29:11,2023,3,11,9,29,11
1,D20230311T095542_IFCB134.hdr,2.3.0.0,45,32,2,Normal,445,443,20.906073090714894,17.813099107347227,1200.923888888889,36.14358723958333,0.9,57.42361178,18.99451038,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,106,5,106,134,/mnt/data/ifcbdata,2023-03-11 09:55:42,2023,3,11,9,55,42
2,D20230311T102212_IFCB134.hdr,2.3.0.0,45,32,3,Normal,446,447,20.163721675440613,17.91954604409858,1200.8779166666666,36.24985677083333,0.4,57.42361207,18.99451953,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,107,6,107,134,/mnt/data/ifcbdata,2023-03-11 10:22:12,2023,3,11,10,22,12
3,D20230311T104843_IFCB134.hdr,2.3.0.0,45,32,4,Normal,656,654,19.58171816586557,18.13243991760129,1200.8275,53.59878472222222,0.9,57.41633572,19.01934845,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,108,7,108,134,/mnt/data/ifcbdata,2023-03-11 10:48:43,2023,3,11,10,48,43
4,D20230311T111514_IFCB134.hdr,2.3.0.0,45,32,5,Normal,440,437,19.017531090257123,18.345333791104,1200.888333333333,35.84634548611111,0.4,57.3964816,19.15507615,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,109,8,109,134,/mnt/data/ifcbdata,2023-03-11 11:15:14,2023,3,11,11,15,14
5,D20230311T114144_IFCB134.hdr,2.3.0.0,45,32,6,Normal,452,451,18.450374608987573,18.55822766460671,1200.9094444444445,36.74931423611111,0.1,57.37992503,19.30130002,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,110,9,110,134,/mnt/data/ifcbdata,2023-03-11 11:41:44,2023,3,11,11,41,44
6,D20230311T120815_IFCB134.hdr,2.3.0.0,45,32,7,Normal,526,524,18.073260090028235,18.664674601358065,1200.9369444444444,42.83947048611111,0.1,57.3643527,19.44855097,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,111,10,111,134,/mnt/data/ifcbdata,2023-03-11 12:08:15,2023,3,11,12,8,15
7,D20230311T123446_IFCB134.hdr,2.3.0.0,45,32,8,Normal,469,471,17.803044174868404,18.87424200808729,1200.9880555555555,38.8837109375,0.7,57.35041138,19.59650263,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,112,11,112,134,/mnt/data/ifcbdata,2023-03-11 12:34:46,2023,3,11,12,34,46
8,D20230311T130117_IFCB134.hdr,2.3.0.0,45,32,9,Normal,543,545,17.500164797436483,18.98235217822539,1200.8422222222223,44.34342881944445,1.0,57.3393117,19.74375073,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,113,12,113,134,/mnt/data/ifcbdata,2023-03-11 13:01:17,2023,3,11,13,1,17
9,D20230311T132747_IFCB134.hdr,2.3.0.0,45,32,10,Normal,367,364,17.304184023804076,18.984015411612127,1200.848888888889,29.785316840277776,0.4,57.3279347,19.89190192,trigger,/dev/ttyS2,False,False,False,False,75,567,117964,123,781,2.5,70,20,505,6,6,2000,20,1,50,True,True,True,False,False,True,False,False,False,1,False,0.15,0.13,0.12,0.12,240,8,2,3,1,21600,30,21,13823,True,False,True,0.65,0.7,0,2.6,14,0.12,0.12,0.12,0.12,True,True,True,True,/dev/ttyUSB0,20,8586,500,5,5,0,5,1,1,1,1,318354,True,True,True,True,False,False,0.4,0,0,1,True,True,50,200,500,5000,2,3,3.5,0.5,3,1,False,20,114,13,114,134,/mnt/data/ifcbdata,2023-03-11 13:27:47,2023,3,11,13,27,47
